T,mean_Mps,std_Mps
0.2, 1.00000, 0.00000
0.4, 1.00000, 0.00000
0.6, 0.99997, 0.00004
0.8, 0.99992, 0.00000
1.0, 0.99901, 0.00042
1.2, 0.99696, 0.00056
1.4, 0.99006, 0.00147
1.6, 0.98003, 0.00076
1.8, 0.95621, 0.00094
2.0, 0.91344, 0.00196
2.2, 0.77381, 0.03953
2.4, 0.20118, 0.01043
2.6, 0.05786, 0.09887
2.8, 0.01454, 0.07224
3.0, 0.04920, 0.02979
3.2, 0.02507, 0.03883
3.4, 0.04285, 0.04319
3.6, 0.02226, 0.02351
3.8, 0.03506, 0.02244
4.0, 0.01312, 0.00696
4.2, 0.02854, 0.01902
4.4, 0.02403, 0.01294
4.6, 0.03171, 0.01240
4.8, 0.01093, 0.01141
5.0, 0.03197, 0.01543
