E,M
-2, 25
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
6, 21
8, 19
8, 19
10, 17
8, 19
8, 19
10, 17
12, 15
10, 17
8, 19
8, 19
6, 21
6, 21
6, 21
8, 19
8, 19
10, 17
10, 17
10, 17
12, 15
14, 13
14, 13
18, 11
18, 11
18, 9
16, 11
16, 13
16, 15
14, 17
14, 17
14, 17
14, 15
16, 13
18, 11
18, 9
18, 7
18, 5
18, 5
18, 7
18, 7
18, 7
18, 7
20, 5
18, 7
18, 7
18, 5
16, 3
16, 1
16, 1
16, 1
18, -1
20, 1
20, 3
18, 5
18, 5
18, 7
18, 7
18, 7
18, 7
16, 9
16, 9
16, 9
16, 9
16, 11
14, 13
10, 15
10, 15
12, 13
10, 15
10, 15
8, 17
8, 17
8, 17
8, 17
8, 17
12, 15
12, 15
12, 15
10, 17
12, 15
12, 15
14, 13
14, 13
14, 13
14, 13
16, 11
16, 11
16, 13
16, 13
14, 15
14, 15
14, 15
14, 15
14, 15
14, 15
14, 15
16, 13
12, 15
10, 17
10, 17
10, 17
8, 19
6, 21
6, 21
6, 21
6, 21
6, 21
8, 19
8, 19
8, 19
8, 17
8, 17
8, 17
10, 15
10, 15
10, 15
10, 15
10, 15
10, 15
10, 15
10, 13
10, 13
12, 11
12, 11
12, 11
12, 11
12, 11
14, 9
14, 9
16, 7
16, 7
18, 9
18, 9
18, 9
14, 11
14, 11
14, 9
14, 9
14, 9
14, 9
14, 11
14, 11
14, 9
16, 7
16, 7
16, 5
16, 7
14, 5
14, 5
14, 3
14, 1
14, 1
14, 1
14, -1
14, 1
14, -1
14, 1
14, -1
16, -3
16, -3
16, -1
14, 1
14, 3
16, 1
20, -1
22, 1
22, 3
22, 1
22, 3
22, 3
22, 1
22, 1
22, -1
22, 1
22, -1
22, -3
22, -3
22, -3
20, -1
22, 1
26, 3
24, 5
24, 5
22, 3
22, 3
22, 3
18, 5
16, 7
16, 9
18, 7
18, 7
18, 7
18, 7
18, 5
18, 3
20, 1
20, 3
20, 3
20, 5
20, 7
20, 9
20, 9
20, 9
20, 9
20, 9
20, 7
20, 7
20, 5
