E,M
-2, -1
-6, 1
-4, -1
-2, -3
-2, -1
-4, -3
-4, -3
-4, -3
-4, -1
-2, 1
-2, -1
-4, 1
-4, 1
-6, -1
-8, -3
-10, -1
-12, 1
-12, 1
-14, 3
-14, 3
-14, 3
-14, 3
-14, 3
-12, 1
-12, 1
-14, -1
-14, -3
-14, -3
-14, -1
-14, -3
-14, -3
-16, -5
-18, -3
-18, -3
-18, -3
-18, -3
-18, -3
-18, -5
-18, -5
-18, -5
-16, -3
-18, -1
-18, -1
-16, 1
-18, 3
-18, 3
-16, 5
-14, 7
-14, 9
-16, 7
-18, 9
-18, 9
-18, 9
-18, 9
-20, 11
-20, 13
-20, 13
-18, 11
-18, 11
-16, 9
-14, 7
-12, 5
-12, 7
-12, 7
-12, 7
-12, 7
-14, 5
-14, 3
-12, 1
-12, 1
-14, 3
-14, 5
-16, 7
-16, 7
-16, 5
-18, 7
-18, 7
-18, 7
-18, 5
-18, 5
-18, 5
-16, 3
-16, 1
-12, -1
-14, -3
-14, -3
-12, -5
-10, -3
-12, -5
-12, -7
-10, -5
-10, -3
-10, -3
-10, -3
-10, -1
-10, -1
-10, -1
-10, -1
-10, -1
-12, 1
-12, 1
-12, 1
-12, 1
-12, -1
-12, -1
-12, -3
-10, -1
-8, -3
-10, -1
-12, 1
-12, 3
-12, 1
-12, -1
-14, -3
-12, -1
-12, 1
-12, 1
-10, 3
-10, 1
-10, -1
-12, -3
-8, -1
-10, -3
-8, -1
-8, -1
-8, 1
-10, -1
-10, -1
-12, -3
-12, -5
-12, -5
-10, -7
-10, -7
-10, -5
-12, -3
-12, -1
-12, -3
-12, -1
-14, 1
-14, -1
-14, -1
-14, -1
-14, -1
-14, -1
-12, -3
-12, -5
-12, -3
-12, -3
-12, -1
-12, -3
-14, -1
-16, -3
-16, -3
-16, -3
-16, -3
-16, -3
-14, -5
-14, -5
-14, -5
-16, -7
-16, -5
-14, -3
-14, -1
-14, -3
-14, -3
-14, -1
-14, -1
-16, 1
-16, 1
-16, 3
-16, 3
-16, 3
-16, 3
-16, 3
-16, 3
-16, 3
-16, 1
-16, 3
-14, 5
-16, 7
-14, 5
-14, 5
-14, 3
-14, 3
-14, 5
-12, 3
-12, 5
-14, 3
-14, 3
-14, 5
-14, 5
-18, 7
-18, 7
-18, 5
-18, 5
-18, 7
-18, 7
-16, 5
-18, 3
-16, 5
-16, 5
-16, 5
-14, 7
-14, 7
-14, 9
-16, 7
-16, 7
-18, 5
-16, 7
-16, 7
-14, 5
-14, 7
-14, 9
-10, 7
-10, 7
-10, 7
-12, 9
-12, 11
-12, 9
-14, 11
-14, 9
-14, 11
-14, 9
-14, 11
-14, 11
-14, 11
-14, 9
-12, 7
-12, 9
-10, 7
-10, 7
-8, 5
-6, 3
-8, 5
-8, 5
-10, 7
-10, 7
-10, 7
-10, 5
-12, 7
-14, 9
-14, 7
-14, 9
-14, 11
-14, 9
-14, 7
-14, 7
-14, 9
-14, 9
-16, 11
-20, 13
