E,M
-2, -1
-6, 1
-6, 1
-4, -1
-4, 1
-6, -1
-6, -1
-6, 1
-10, 3
-12, 5
-10, 7
-10, 5
-10, 5
-10, 7
-10, 5
-12, 3
-10, 1
-10, 1
-12, 3
-12, 5
-12, 7
-14, 9
-14, 9
-14, 7
-14, 7
-14, 5
-14, 3
-14, 5
-16, 3
-16, 3
-16, 3
-16, 3
-18, 1
-18, 1
-18, 1
-18, 1
-18, -1
-18, 1
-18, 1
-18, 3
-18, 3
-20, 5
-20, 5
-20, 7
-20, 9
-20, 9
-20, 9
-20, 11
-20, 11
-20, 13
-20, 13
-20, 11
-20, 9
-20, 9
-20, 9
-20, 9
-20, 9
-20, 9
-20, 9
-18, 7
-18, 9
-18, 11
-18, 11
-20, 13
-18, 11
-18, 11
-18, 11
-16, 9
-16, 9
-16, 7
-16, 7
-16, 9
-16, 9
-18, 11
-18, 11
-18, 9
-18, 9
-16, 7
-16, 7
-16, 7
-16, 7
-16, 7
-16, 7
-16, 5
-14, 3
-16, 5
-16, 5
-16, 5
-16, 5
-16, 5
-16, 5
-14, 3
-14, 5
-14, 7
-14, 9
-16, 11
-16, 11
-16, 11
-16, 11
-16, 11
-16, 9
-16, 9
-16, 7
-16, 7
-16, 5
-16, 5
-18, 7
-18, 7
-18, 9
-18, 9
-18, 9
-18, 9
-18, 11
-18, 9
-18, 9
-18, 7
-18, 7
-18, 9
-20, 11
-20, 13
-20, 15
-20, 17
-20, 17
-20, 15
-18, 13
-18, 11
-18, 11
-16, 13
-16, 13
-16, 15
-16, 13
-16, 13
-16, 15
-18, 17
-18, 17
-18, 17
-18, 17
-18, 17
-18, 17
-18, 17
-20, 19
-20, 19
-20, 19
-20, 19
-18, 17
-18, 17
-20, 19
-20, 19
-20, 19
-20, 19
-24, 21
-24, 21
-24, 21
-24, 21
-24, 21
-24, 21
-24, 21
-22, 19
-20, 17
-20, 15
-20, 15
-20, 15
-20, 15
-20, 15
-20, 15
-20, 15
-20, 17
-20, 17
-20, 17
-20, 17
-20, 17
-20, 17
-20, 17
-20, 15
-20, 17
-20, 15
-20, 15
-20, 13
-20, 13
-20, 13
-20, 13
-20, 13
-20, 15
-20, 15
-20, 17
-20, 17
-20, 17
-20, 17
-20, 15
-20, 13
-20, 13
-20, 13
-20, 13
-18, 11
-18, 11
-18, 9
-18, 11
-16, 13
-16, 13
-18, 11
-18, 11
-18, 11
-16, 13
-18, 15
-18, 15
-20, 13
-20, 13
-22, 15
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 15
-24, 17
-24, 17
-24, 19
-20, 17
-20, 17
-20, 17
-20, 17
-20, 17
-20, 17
-20, 17
-20, 15
-20, 15
-20, 15
-22, 17
-22, 17
-22, 17
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 19
-24, 21
-24, 21
