E,M
-2, 25
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
4, 21
4, 21
4, 21
4, 21
4, 21
4, 21
4, 21
4, 21
8, 19
8, 19
10, 17
10, 17
10, 17
10, 17
10, 17
10, 17
12, 15
12, 15
12, 15
12, 15
12, 15
10, 13
10, 13
12, 11
12, 11
12, 13
12, 11
16, 9
16, 7
14, 9
14, 9
14, 11
12, 13
12, 13
12, 13
12, 15
12, 13
12, 13
12, 13
12, 13
12, 13
12, 11
12, 9
12, 9
12, 9
12, 7
12, 7
12, 9
14, 7
14, 5
14, 7
14, 9
14, 11
14, 13
14, 13
14, 13
14, 13
16, 11
16, 11
16, 13
14, 15
14, 15
16, 13
18, 11
18, 9
18, 9
18, 9
18, 9
18, 9
16, 11
16, 13
18, 11
18, 11
18, 11
16, 13
18, 11
20, 9
20, 9
18, 11
18, 13
18, 11
14, 13
14, 13
14, 13
14, 13
16, 11
16, 13
16, 11
16, 11
16, 11
16, 11
16, 11
16, 9
16, 11
20, 9
20, 11
20, 9
20, 9
18, 11
18, 11
16, 13
16, 13
12, 15
12, 15
12, 15
12, 15
12, 15
8, 17
8, 17
8, 17
10, 15
10, 15
10, 15
10, 15
14, 13
16, 11
16, 11
16, 13
16, 13
16, 13
16, 11
16, 13
16, 13
16, 11
16, 9
16, 11
16, 11
16, 13
16, 13
14, 15
14, 13
10, 15
10, 15
10, 15
10, 13
10, 13
10, 13
10, 15
10, 15
10, 15
10, 15
10, 17
10, 17
10, 17
10, 17
10, 17
10, 17
10, 17
12, 15
12, 15
12, 15
12, 15
14, 13
12, 15
12, 15
12, 15
14, 13
14, 11
14, 13
14, 11
14, 11
14, 11
14, 9
14, 11
14, 11
14, 13
14, 11
14, 11
12, 13
12, 13
10, 15
10, 15
10, 15
10, 15
10, 15
10, 17
10, 17
10, 15
10, 15
10, 15
10, 15
10, 15
10, 15
12, 13
14, 11
14, 11
14, 11
14, 9
12, 11
12, 9
12, 9
14, 7
16, 5
16, 5
18, 7
18, 7
16, 9
18, 7
18, 5
18, 5
18, 5
18, 3
18, 3
18, 5
20, 3
20, 1
20, -1
20, -3
18, -1
18, 1
18, -1
18, -1
20, -3
22, -5
22, -7
22, -5
22, -3
24, -5
24, -3
24, -3
22, -1
20, 1
20, -1
20, 1
22, 3
22, 5
20, 7
20, 5
22, 7
22, 7
22, 7
20, 9
20, 7
20, 7
20, 7
20, 5
20, 7
20, 5
20, 5
20, 5
20, 5
20, 5
18, 3
16, 5
