E,M
2, -25
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
8, -21
8, -21
8, -21
8, -21
8, -21
8, -21
8, -21
8, -21
12, -19
12, -19
14, -17
14, -17
14, -17
14, -17
14, -17
14, -17
16, -15
16, -15
16, -15
16, -15
16, -15
14, -13
14, -13
16, -11
16, -11
16, -13
16, -11
20, -9
20, -7
18, -9
18, -9
18, -11
16, -13
16, -13
16, -13
16, -15
16, -13
16, -13
16, -13
16, -13
16, -13
16, -11
16, -9
16, -9
16, -9
16, -7
16, -7
16, -9
18, -7
18, -5
18, -7
18, -9
18, -11
18, -13
18, -13
18, -13
18, -13
20, -11
20, -11
20, -13
18, -15
18, -15
20, -13
22, -11
22, -9
22, -9
22, -9
22, -9
22, -9
20, -11
20, -13
22, -11
22, -11
22, -11
20, -13
22, -11
24, -9
24, -9
22, -11
22, -13
22, -11
18, -13
18, -13
18, -13
18, -13
20, -11
20, -13
20, -11
20, -11
20, -11
20, -11
20, -11
20, -9
20, -11
24, -9
24, -11
24, -9
24, -9
22, -11
22, -11
20, -13
20, -13
16, -15
16, -15
16, -15
16, -15
16, -15
12, -17
12, -17
12, -17
14, -15
14, -15
14, -15
14, -15
18, -13
20, -11
20, -11
20, -13
20, -13
20, -13
20, -11
20, -13
20, -13
20, -11
20, -9
20, -11
20, -11
20, -13
20, -13
18, -15
18, -13
14, -15
14, -15
14, -15
14, -13
14, -13
14, -13
14, -15
14, -15
14, -15
14, -15
14, -17
14, -17
14, -17
14, -17
14, -17
14, -17
14, -17
16, -15
16, -15
16, -15
16, -15
18, -13
16, -15
16, -15
16, -15
18, -13
18, -11
18, -13
18, -11
18, -11
18, -11
18, -9
18, -11
18, -11
18, -13
18, -11
18, -11
16, -13
16, -13
14, -15
14, -15
14, -15
14, -15
14, -15
14, -17
14, -17
14, -15
14, -15
14, -15
14, -15
14, -15
14, -15
16, -13
18, -11
18, -11
18, -11
18, -9
16, -11
16, -9
16, -9
18, -7
20, -5
20, -5
22, -7
22, -7
20, -9
22, -7
22, -5
22, -5
22, -5
22, -3
22, -3
22, -5
24, -3
24, -1
24, 1
24, 3
22, 1
22, -1
22, 1
22, 1
24, 3
26, 5
26, 7
26, 5
26, 3
28, 5
28, 3
28, 3
26, 1
24, -1
24, 1
24, -1
26, -3
26, -5
24, -7
24, -5
26, -7
26, -7
26, -7
24, -9
24, -7
24, -7
24, -7
24, -5
24, -7
24, -5
24, -5
24, -5
24, -5
24, -5
22, -3
20, -5
