E,M
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
