M1, M2
1.00000, -0.00960
0.95700, 0.00180
0.91860, 0.01980
0.90600, 0.03200
0.88780, 0.03580
0.88060, 0.03360
0.87000, 0.00700
0.85640, 0.01900
0.84480, 0.02880
0.84340, 0.02700
0.84480, 0.02500
0.84080, 0.03320
0.83120, 0.03800
0.82140, 0.03720
0.81900, 0.04160
0.81320, 0.03960
0.81340, 0.04060
0.81800, 0.05480
0.82020, 0.06100
0.80300, 0.07320
0.77960, 0.07340
0.78220, 0.07180
0.78380, 0.06680
0.78480, 0.06660
0.77180, 0.07480
0.76460, 0.07920
0.77420, 0.07760
0.77300, 0.09380
0.76380, 0.06720
0.75880, 0.07580
0.75720, 0.08580
0.75700, 0.07260
0.75660, 0.07700
0.75660, 0.09280
0.75900, 0.10420
0.76560, 0.10320
0.76780, 0.09260
0.78360, 0.09500
0.78500, 0.10080
0.77480, 0.10120
0.77520, 0.10560
0.76460, 0.11740
0.77000, 0.09600
0.75400, 0.09400
0.75520, 0.08820
0.76500, 0.10080
0.76920, 0.11700
0.77740, 0.12500
0.76740, 0.11140
0.74960, 0.11640
0.74860, 0.12440
0.74120, 0.12140
0.73220, 0.12780
0.72540, 0.12480
0.71240, 0.12020
0.71320, 0.11920
0.72040, 0.09340
0.70280, 0.10560
0.70400, 0.09820
0.71280, 0.10600
0.71740, 0.11360
0.71160, 0.10680
0.70400, 0.11620
0.72080, 0.12260
0.71980, 0.12000
0.71760, 0.11180
0.72540, 0.13320
0.71780, 0.12300
0.70220, 0.11900
0.68880, 0.12240
0.68060, 0.12900
0.68260, 0.11760
0.68660, 0.12740
0.67660, 0.12640
0.67580, 0.13060
0.68400, 0.12540
0.67180, 0.12340
0.67320, 0.14280
0.67560, 0.13120
0.68680, 0.13060
0.68380, 0.13220
0.68160, 0.12860
0.68940, 0.12800
0.69920, 0.13380
0.69440, 0.14140
0.69800, 0.15580
0.70380, 0.15780
0.70700, 0.17440
0.70000, 0.17140
0.71700, 0.16060
0.70460, 0.14200
0.70660, 0.12100
0.70260, 0.11960
0.70000, 0.10100
0.71240, 0.10840
0.71640, 0.09740
0.71100, 0.07800
0.70420, 0.08520
0.69580, 0.08740
0.69740, 0.09220
0.68980, 0.10260
0.70560, 0.08520
0.71300, 0.08380
0.71760, 0.08380
0.72580, 0.09400
0.71840, 0.10820
0.72640, 0.11220
0.73540, 0.13480
0.74720, 0.13640
0.73880, 0.13920
0.74180, 0.12860
0.73480, 0.12560
0.72300, 0.13420
0.72020, 0.13780
0.71600, 0.13380
0.71560, 0.14140
0.72780, 0.14420
0.72900, 0.15120
0.72780, 0.15820
0.73260, 0.16140
0.72160, 0.16760
0.70960, 0.17360
0.70320, 0.17780
0.70420, 0.17340
0.70240, 0.16400
0.70780, 0.16880
0.71460, 0.16880
0.70580, 0.17360
0.71700, 0.17600
0.70740, 0.17560
0.71800, 0.15700
0.71400, 0.17100
0.70460, 0.16840
0.70880, 0.18820
0.71180, 0.17940
0.71860, 0.17880
0.70780, 0.18700
0.69760, 0.16400
0.70500, 0.16760
0.71340, 0.17080
0.72160, 0.17920
0.72740, 0.19040
0.73360, 0.18580
0.74720, 0.20220
0.74100, 0.20380
0.75000, 0.20320
0.74280, 0.20220
0.74160, 0.19080
0.73220, 0.19020
0.73280, 0.19340
0.73220, 0.20360
0.72080, 0.19680
0.72580, 0.20060
0.71780, 0.19860
0.72120, 0.19680
0.71120, 0.17720
0.70000, 0.17700
0.70820, 0.17440
0.71320, 0.18280
0.72820, 0.17120
0.72620, 0.18280
0.72920, 0.18160
0.72460, 0.18820
0.73080, 0.19380
0.71160, 0.19560
0.71420, 0.18920
0.70460, 0.18340
0.70280, 0.19760
0.70540, 0.21340
0.70040, 0.21040
0.71060, 0.22000
0.70260, 0.22460
0.71380, 0.22160
0.71720, 0.21600
0.72360, 0.21360
0.73960, 0.20820
0.72840, 0.21300
0.73220, 0.20900
0.73600, 0.22760
0.74680, 0.21860
0.74000, 0.22820
0.75220, 0.22480
0.75780, 0.22040
0.75620, 0.22520
0.75260, 0.22200
0.75260, 0.21860
0.74040, 0.23060
0.74480, 0.23880
0.74140, 0.23220
0.75720, 0.23300
0.75920, 0.24000
0.75100, 0.22900
0.74980, 0.23280
0.74220, 0.23440
0.74840, 0.24100
0.72760, 0.24060
0.73720, 0.23920
0.73860, 0.23920
0.72580, 0.23760
0.72080, 0.24020
0.73100, 0.25340
0.73720, 0.25760
0.72820, 0.25100
0.71540, 0.24500
0.70820, 0.24460
0.70840, 0.26140
0.70560, 0.27460
0.70040, 0.28320
0.70920, 0.27660
0.70880, 0.29140
0.70380, 0.29420
0.70600, 0.28640
0.70700, 0.28260
0.70780, 0.28840
0.70300, 0.29360
0.70720, 0.30260
0.70620, 0.29260
0.71920, 0.27640
0.70320, 0.25840
0.71300, 0.24700
0.70360, 0.25380
0.69680, 0.26420
0.71200, 0.26520
0.70900, 0.25320
0.70620, 0.27220
0.69080, 0.27980
0.67740, 0.28060
0.67180, 0.28220
0.67040, 0.27600
0.67520, 0.28340
0.67180, 0.28260
0.67000, 0.27560
0.66000, 0.27720
0.65380, 0.27680
0.65360, 0.27160
0.65020, 0.25860
0.63780, 0.25880
0.62640, 0.24940
0.62120, 0.25060
0.61840, 0.26360
0.61720, 0.26640
0.61740, 0.26520
0.61980, 0.26780
0.62420, 0.25480
0.62460, 0.26580
0.61920, 0.26420
0.60460, 0.26120
0.60260, 0.27960
0.59760, 0.27520
0.59140, 0.27700
0.59360, 0.27040
0.58980, 0.26220
0.58700, 0.25580
0.57260, 0.24560
0.55420, 0.24680
0.55360, 0.24160
0.54760, 0.23120
0.55580, 0.24560
0.55660, 0.25440
0.56740, 0.25820
0.57840, 0.25860
0.57440, 0.24460
0.58120, 0.25300
0.58020, 0.25200
0.58400, 0.24360
0.57500, 0.22480
0.59720, 0.22840
0.60400, 0.22300
0.59280, 0.22780
0.60020, 0.21520
0.60720, 0.21620
0.60860, 0.22560
0.59600, 0.22940
0.59100, 0.23380
0.60440, 0.24540
0.58500, 0.25200
0.60200, 0.25820
0.59480, 0.25260
0.60120, 0.27720
0.59320, 0.26820
0.60100, 0.26360
0.60620, 0.24760
0.61160, 0.26480
0.61260, 0.27220
0.61220, 0.26300
0.60860, 0.25120
0.60260, 0.26660
0.61220, 0.26040
0.61440, 0.24700
0.62660, 0.24700
0.59500, 0.24040
0.59280, 0.23160
0.60280, 0.22500
0.59460, 0.20940
0.59160, 0.20720
0.59200, 0.21180
0.58740, 0.21320
0.59080, 0.21060
0.57400, 0.20620
0.56180, 0.18840
0.55460, 0.19440
0.57520, 0.21100
0.56900, 0.18940
0.55220, 0.18720
0.55300, 0.17800
0.54860, 0.18000
0.55220, 0.18640
0.55460, 0.18480
0.57760, 0.19620
0.57180, 0.20720
0.57320, 0.22340
0.56520, 0.22160
0.56800, 0.22500
0.56640, 0.20260
0.57080, 0.19840
0.56080, 0.18740
0.54700, 0.18020
0.56220, 0.17140
0.56620, 0.18260
0.54780, 0.17860
0.56500, 0.18180
0.56620, 0.17360
0.56920, 0.18000
0.57320, 0.18340
0.57600, 0.18500
0.56580, 0.17400
0.55860, 0.17200
0.56060, 0.19060
0.56840, 0.21440
0.55920, 0.22740
0.55300, 0.23220
0.54180, 0.22140
0.53300, 0.23640
0.53660, 0.23940
0.52900, 0.24180
0.52460, 0.23460
0.52060, 0.22480
0.52160, 0.23000
0.51880, 0.23080
0.52900, 0.23000
0.52560, 0.23480
0.53160, 0.23380
0.52140, 0.22400
0.50140, 0.22480
0.49180, 0.22240
0.49020, 0.20860
0.49740, 0.20160
0.50540, 0.21100
0.49660, 0.20620
0.49360, 0.21180
0.49260, 0.22740
0.49360, 0.21100
0.49500, 0.21320
0.50180, 0.20920
0.49840, 0.22000
0.50900, 0.21060
0.50140, 0.20920
0.49360, 0.20680
0.48800, 0.21740
0.48300, 0.21000
0.48540, 0.19440
0.47180, 0.19680
0.45560, 0.20720
0.46600, 0.20540
0.47020, 0.20340
0.48120, 0.19760
0.46500, 0.20380
0.45180, 0.20800
0.44300, 0.20640
0.45260, 0.21360
0.44400, 0.21560
0.42860, 0.22180
0.42700, 0.21240
0.42480, 0.20800
0.43560, 0.20660
0.42280, 0.23500
0.42980, 0.23240
0.44640, 0.23380
0.45860, 0.23720
0.47440, 0.24640
0.47360, 0.24940
0.47440, 0.24300
0.48320, 0.24020
0.46800, 0.25400
0.47040, 0.26280
0.47600, 0.26380
0.46260, 0.25760
