M1, M2
1.00000, -0.00100
0.81680, 0.02540
0.66600, 0.03780
0.57680, 0.02760
0.46960, 0.01680
0.40060, 0.02160
0.34400, -0.00960
0.28680, -0.01380
0.23600, -0.01720
0.20860, -0.00260
0.15900, 0.00580
0.14580, 0.01560
0.13280, 0.01860
0.09940, 0.00300
0.08660, 0.01580
0.09700, 0.00920
0.09260, 0.00660
0.07560, -0.00120
0.05360, 0.00000
0.04800, -0.00780
0.03140, -0.02100
0.03420, -0.04060
0.05520, -0.04260
0.03980, -0.02920
0.04900, -0.03160
0.01480, -0.01440
0.02660, -0.00480
0.03000, 0.00340
0.02220, -0.01120
0.00360, -0.00240
0.02080, 0.00920
0.02140, 0.02520
0.02060, 0.02400
0.00560, 0.00320
0.00240, -0.00960
0.02120, -0.03200
0.01840, -0.00300
0.01820, -0.03240
-0.01000, -0.02460
-0.02200, -0.02220
-0.00400, -0.03220
-0.00420, -0.01880
-0.02740, -0.01340
-0.04380, -0.01620
-0.03540, -0.01260
-0.01780, 0.00560
-0.03980, 0.01620
-0.03440, 0.01040
-0.03340, 0.02260
-0.01760, 0.02900
-0.02840, 0.00100
-0.00840, -0.00520
-0.01040, -0.01300
0.00820, -0.02280
0.00620, -0.03740
0.00240, -0.02560
0.00500, -0.02360
0.00520, -0.00780
-0.02260, 0.00860
-0.02740, -0.01340
-0.01800, -0.01480
-0.02140, 0.00000
-0.00340, 0.00560
-0.00480, 0.01780
-0.00160, 0.03440
0.01380, 0.01840
0.03360, 0.01200
0.02400, 0.00900
0.03320, 0.01360
0.01480, 0.02900
-0.00100, 0.02200
-0.00520, 0.01300
-0.00180, 0.01640
-0.03420, 0.00340
-0.03620, -0.01840
-0.06180, -0.01440
-0.06540, -0.04120
-0.06500, -0.02160
-0.06040, -0.00060
-0.07480, -0.01540
-0.04480, -0.02420
-0.02460, -0.03220
-0.03680, -0.02080
-0.03060, -0.01740
-0.02580, 0.00940
-0.04360, 0.01700
-0.02760, 0.02220
-0.01540, 0.01740
-0.02340, 0.02420
-0.02940, 0.01500
0.00180, 0.00900
-0.02000, 0.01800
-0.04360, 0.00400
-0.03060, -0.00720
-0.03120, -0.00460
-0.03860, 0.02160
-0.04260, 0.03540
-0.05040, 0.03760
-0.04320, 0.06260
-0.03260, 0.05640
-0.04060, 0.03740
-0.04940, 0.03380
-0.07340, 0.03820
-0.03720, 0.03600
-0.04720, 0.02860
-0.04080, 0.02000
-0.02320, 0.01760
-0.00960, 0.01980
-0.00660, 0.02080
0.00720, 0.00460
