M1, M2
1.00000, 0.06200
1.00000, 0.06080
1.00000, 0.06200
1.00000, 0.06280
1.00000, 0.05980
1.00000, 0.06060
1.00000, 0.06060
1.00000, 0.06000
1.00000, 0.05880
1.00000, 0.06180
1.00000, 0.05980
1.00000, 0.05720
1.00000, 0.06060
1.00000, 0.06480
1.00000, 0.06220
1.00000, 0.06500
1.00000, 0.06560
1.00000, 0.06780
1.00000, 0.06580
1.00000, 0.06740
1.00000, 0.06800
1.00000, 0.06880
1.00000, 0.06960
1.00000, 0.07300
1.00000, 0.07240
1.00000, 0.07320
1.00000, 0.07400
1.00000, 0.07640
1.00000, 0.07680
1.00000, 0.07920
1.00000, 0.08020
1.00000, 0.08120
1.00000, 0.07840
1.00000, 0.07960
1.00000, 0.07940
1.00000, 0.07760
1.00000, 0.07540
1.00000, 0.07040
1.00000, 0.07320
1.00000, 0.06860
1.00000, 0.06780
1.00000, 0.06740
1.00000, 0.06840
1.00000, 0.06880
1.00000, 0.07100
1.00000, 0.07260
1.00000, 0.07360
1.00000, 0.07480
1.00000, 0.07640
1.00000, 0.07720
1.00000, 0.07960
1.00000, 0.08300
1.00000, 0.08760
1.00000, 0.09300
1.00000, 0.09220
1.00000, 0.09220
1.00000, 0.09280
1.00000, 0.09520
1.00000, 0.09520
1.00000, 0.09440
1.00000, 0.09220
1.00000, 0.09180
1.00000, 0.09180
1.00000, 0.09660
1.00000, 0.09700
1.00000, 0.09980
1.00000, 0.10440
1.00000, 0.10700
1.00000, 0.10880
1.00000, 0.10960
1.00000, 0.11200
1.00000, 0.10960
1.00000, 0.11320
1.00000, 0.11740
1.00000, 0.12060
1.00000, 0.11760
1.00000, 0.11700
1.00000, 0.12080
1.00000, 0.12280
1.00000, 0.12200
1.00000, 0.12380
1.00000, 0.12840
1.00000, 0.12980
1.00000, 0.13180
1.00000, 0.13100
1.00000, 0.13220
1.00000, 0.13160
1.00000, 0.13580
1.00000, 0.13580
1.00000, 0.13880
1.00000, 0.14000
1.00000, 0.14340
1.00000, 0.14240
1.00000, 0.14640
1.00000, 0.14580
1.00000, 0.14580
1.00000, 0.14720
1.00000, 0.15080
1.00000, 0.15120
