E,M
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
2, 23
2, 23
2, 23
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
4, 21
4, 21
4, 21
4, 21
4, 21
4, 21
4, 21
4, 21
4, 21
4, 21
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
2, 23
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
-2, 25
