E,M
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
6, -23
6, -23
6, -23
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
8, -21
8, -21
8, -21
8, -21
8, -21
8, -21
8, -21
8, -21
8, -21
8, -21
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
6, -23
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
2, -25
