E,M
-2, -1
-6, 1
-6, 1
-6, 1
-6, 3
-8, 1
-8, 1
-8, 3
-12, 5
-14, 7
-14, 7
-14, 5
-14, 5
-14, 7
-14, 7
-14, 7
-14, 7
-16, 9
-18, 11
-18, 11
-18, 11
-18, 11
-18, 11
-18, 11
-18, 11
-18, 11
-18, 11
-18, 9
-18, 9
-18, 7
-18, 7
-18, 7
-18, 7
-18, 7
-18, 7
-18, 9
-18, 11
-18, 11
-18, 13
-18, 15
-18, 13
-18, 13
-18, 13
-18, 11
-18, 11
-18, 11
-18, 13
-18, 15
-18, 15
-18, 15
-18, 15
-18, 15
-18, 15
-18, 13
-18, 13
-20, 15
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 17
-22, 15
-22, 15
-22, 15
-22, 15
-22, 15
-22, 17
-22, 17
-22, 17
-22, 17
-24, 19
-24, 19
-24, 19
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-26, 21
-28, 23
-28, 23
-28, 23
-28, 23
-28, 23
-28, 23
-28, 23
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
-32, 25
