T,Mps
0.2, 1.00000
0.4, 1.00000
0.6, 1.00000
0.8, 0.99992
1.0, 0.99923
1.2, 0.99708
1.4, 0.99164
1.6, 0.97920
1.8, 0.95546
2.0, 0.91381
2.2, 0.78859
2.4, 0.08798
2.6, 0.00397
2.8, 0.00499
3.0, 0.02387
3.2, 0.00570
3.4, -0.00010
3.6, -0.00083
3.8, 0.00082
4.0, -0.00108
4.2, 0.00046
4.4, 0.00528
4.6, -0.00020
4.8, 0.00677
5.0, 0.00294
