T,Cv
0.2, 0.00000
0.4, 0.00000
0.6, 0.00000
0.8, 0.00000
1.0, 0.00000
1.2, 0.12963
1.4, 0.29841
1.6, 0.18403
1.8, 0.81262
2.0, 0.34356
2.2, 0.65381
2.4, 0.00000
2.6, 0.00000
2.8, 0.00000
3.0, 0.00000
3.2, 0.05861
3.4, 0.00000
3.6, 0.34307
3.8, 0.00000
4.0, 0.00000
4.2, 0.00000
4.4, 0.00000
4.6, 0.00000
4.8, 0.00000
5.0, 0.00000
