T,Cv
0.2, 0.00000
0.4, 0.00000
0.6, 0.00000
0.8, 0.00500
1.0, 0.10489
1.2, 0.06241
1.4, 0.12336
1.6, 0.03056
1.8, 0.31781
2.0, 0.95333
2.2, 1.14108
2.4, 1.08272
2.6, 0.86660
2.8, 0.94943
3.0, 0.72400
3.2, 0.34761
3.4, 0.33356
3.6, 0.40367
3.8, 0.18611
4.0, 0.08400
4.2, 0.08690
4.4, 0.17389
4.6, 0.15430
4.8, 0.16175
5.0, 0.05527
