T,Cv
0.2, 0.00000
0.4, 0.00000
0.6, 0.00000
0.8, 0.00000
1.0, 0.00000
1.2, 0.00000
1.4, 0.00000
1.6, 0.17778
1.8, 0.44115
2.0, 0.46222
2.2, 0.44812
2.4, 0.00000
2.6, 0.00000
2.8, 0.00000
3.0, 0.00000
3.2, 0.36736
3.4, 0.47735
3.6, 0.19753
3.8, 0.00000
4.0, 0.00000
4.2, 0.00000
4.4, 0.00000
4.6, 0.00000
4.8, 0.00000
5.0, 0.00000
