T,mean_Cv,std_Cv
0.2, 0.00000, 0.00000
0.4, 0.00000, 0.00000
0.6, 20115.44361, 30726.84754
0.8, 3770.92493, 11312.76248
1.0, 2408.46454, 7225.32530
1.2, 7797.48358, 6366.57554
1.4, 6680.39995, 5537.55327
1.6, 2786.24034, 3412.14591
1.8, 1398.13660, 1711.75425
2.0, 0.57394, 0.06898
2.2, 498.19926, 608.65794
2.4, 1.18355, 0.12452
2.6, 0.83071, 0.09892
2.8, 0.48699, 0.04408
3.0, 0.39031, 0.02636
3.2, 0.28913, 0.05401
3.4, 0.25258, 0.02976
3.6, 0.22965, 0.02331
3.8, 0.19932, 0.02027
4.0, 0.15367, 0.02103
4.2, 0.14541, 0.01467
4.4, 0.12813, 0.02103
4.6, 0.11878, 0.01107
4.8, 0.11776, 0.02537
5.0, 0.10167, 0.01509
