T,Mps
0.2, 1.00000
0.4, 1.00000
0.6, 1.00000
0.8, 1.00000
1.0, 1.00000
1.2, 1.00000
1.4, 0.97800
1.6, 0.97000
1.8, 0.94800
2.0, 0.96000
2.2, 0.59240
2.4, 1.00000
2.6, 1.00000
2.8, 1.00000
3.0, 1.00000
3.2, 0.05400
3.4, 0.90000
3.6, 0.90000
3.8, 0.44000
4.0, 0.70000
4.2, 0.07000
4.4, 0.27200
4.6, 0.52000
4.8, 0.48000
5.0, 0.51000
